證券代碼	簡稱	年月	收盤價(元)_月
Y9999  	加權指數     	199411	 6363.72
Y9999  	加權指數     	199412	 7124.66
Y9999  	加權指數     	199501	 6307.85
Y9999  	加權指數     	199502	 6509.33
Y9999  	加權指數     	199503	 6524.00
Y9999  	加權指數     	199504	 5803.78
Y9999  	加權指數     	199505	 5674.55
Y9999  	加權指數     	199506	 5444.97
Y9999  	加權指數     	199507	 5180.42
Y9999  	加權指數     	199508	 4809.93
Y9999  	加權指數     	199509	 5033.06
Y9999  	加權指數     	199510	 4817.04
Y9999  	加權指數     	199511	 4777.20
Y9999  	加權指數     	199512	 5173.73
Y9999  	加權指數     	199601	 4763.40
Y9999  	加權指數     	199602	 4797.67
Y9999  	加權指數     	199603	 5032.35
Y9999  	加權指數     	199604	 6134.28
Y9999  	加權指數     	199605	 5966.82
Y9999  	加權指數     	199606	 6560.41
Y9999  	加權指數     	199607	 6106.97
Y9999  	加權指數     	199608	 6324.60
Y9999  	加權指數     	199609	 6504.68
Y9999  	加權指數     	199610	 6426.09
Y9999  	加權指數     	199611	 6826.06
Y9999  	加權指數     	199612	 6933.94
Y9999  	加權指數     	199701	 7283.40
Y9999  	加權指數     	199702	 7875.32
Y9999  	加權指數     	199703	 8004.20
Y9999  	加權指數     	199704	 8485.66
Y9999  	加權指數     	199705	 8163.11
Y9999  	加權指數     	199706	 9030.28
Y9999  	加權指數     	199707	10066.35
Y9999  	加權指數     	199708	 9756.47
Y9999  	加權指數     	199709	 8708.83
Y9999  	加權指數     	199710	 7313.40
Y9999  	加權指數     	199711	 7797.19
Y9999  	加權指數     	199712	 8187.27
Y9999  	加權指數     	199801	 8085.47
Y9999  	加權指數     	199802	 9202.56
Y9999  	加權指數     	199803	 9091.16
Y9999  	加權指數     	199804	 8304.21
Y9999  	加權指數     	199805	 7903.34
Y9999  	加權指數     	199806	 7548.81
Y9999  	加權指數     	199807	 7653.51
Y9999  	加權指數     	199808	 6550.11
Y9999  	加權指數     	199809	 6833.95
Y9999  	加權指數     	199810	 7165.98
Y9999  	加權指數     	199811	 7177.22
Y9999  	加權指數     	199812	 6418.43
Y9999  	加權指數     	199901	 5998.32
Y9999  	加權指數     	199902	 6318.52
Y9999  	加權指數     	199903	 6881.72
Y9999  	加權指數     	199904	 7371.17
Y9999  	加權指數     	199905	 7316.57
Y9999  	加權指數     	199906	 8467.37
Y9999  	加權指數     	199907	 7326.75
Y9999  	加權指數     	199908	 8157.73
Y9999  	加權指數     	199909	 7598.79
Y9999  	加權指數     	199910	 7854.85
Y9999  	加權指數     	199911	 7720.87
Y9999  	加權指數     	199912	 8448.84
Y9999  	加權指數     	200001	 9744.89
Y9999  	加權指數     	200002	 9435.94
Y9999  	加權指數     	200003	 9854.95
Y9999  	加權指數     	200004	 8777.35
Y9999  	加權指數     	200005	 8939.52
Y9999  	加權指數     	200006	 8265.09
Y9999  	加權指數     	200007	 8114.92
Y9999  	加權指數     	200008	 7616.98
Y9999  	加權指數     	200009	 6185.14
Y9999  	加權指數     	200010	 5544.18
Y9999  	加權指數     	200011	 5256.93
Y9999  	加權指數     	200012	 4739.09
Y9999  	加權指數     	200101	 5936.20
Y9999  	加權指數     	200102	 5674.69
Y9999  	加權指數     	200103	 5797.92
Y9999  	加權指數     	200104	 5381.67
Y9999  	加權指數     	200105	 5048.86
Y9999  	加權指數     	200106	 4883.43
Y9999  	加權指數     	200107	 4352.98
Y9999  	加權指數     	200108	 4509.44
Y9999  	加權指數     	200109	 3636.94
Y9999  	加權指數     	200110	 3903.49
Y9999  	加權指數     	200111	 4441.12
Y9999  	加權指數     	200112	 5551.24
Y9999  	加權指數     	200201	 5872.14
Y9999  	加權指數     	200202	 5696.11
Y9999  	加權指數     	200203	 6167.47
Y9999  	加權指數     	200204	 6065.73
Y9999  	加權指數     	200205	 5675.65
Y9999  	加權指數     	200206	 5153.71
Y9999  	加權指數     	200207	 4940.38
Y9999  	加權指數     	200208	 4764.94
Y9999  	加權指數     	200209	 4191.81
Y9999  	加權指數     	200210	 4579.14
Y9999  	加權指數     	200211	 4646.69
Y9999  	加權指數     	200212	 4452.45
Y9999  	加權指數     	200301	 5015.16
Y9999  	加權指數     	200302	 4432.46
Y9999  	加權指數     	200303	 4321.22
Y9999  	加權指數     	200304	 4148.07
Y9999  	加權指數     	200305	 4555.90
Y9999  	加權指數     	200306	 4872.15
Y9999  	加權指數     	200307	 5318.34
Y9999  	加權指數     	200308	 5650.83
Y9999  	加權指數     	200309	 5611.41
Y9999  	加權指數     	200310	 6045.12
Y9999  	加權指數     	200311	 5771.77
Y9999  	加權指數     	200312	 5890.69
Y9999  	加權指數     	200401	 6375.38
Y9999  	加權指數     	200402	 6750.54
Y9999  	加權指數     	200403	 6522.19
Y9999  	加權指數     	200404	 6117.81
Y9999  	加權指數     	200405	 5977.84
Y9999  	加權指數     	200406	 5839.44
Y9999  	加權指數     	200407	 5420.57
Y9999  	加權指數     	200408	 5765.54
Y9999  	加權指數     	200409	 5845.69
Y9999  	加權指數     	200410	 5705.93
Y9999  	加權指數     	200411	 5844.76
Y9999  	加權指數     	200412	 6139.69
Y9999  	加權指數     	200501	 5994.23
Y9999  	加權指數     	200502	 6207.83
Y9999  	加權指數     	200503	 6005.88
Y9999  	加權指數     	200504	 5818.07
Y9999  	加權指數     	200505	 6011.56
Y9999  	加權指數     	200506	 6241.94
Y9999  	加權指數     	200507	 6311.98
Y9999  	加權指數     	200508	 6033.47
Y9999  	加權指數     	200509	 6118.61
Y9999  	加權指數     	200510	 5764.30
Y9999  	加權指數     	200511	 6203.47
Y9999  	加權指數     	200512	 6548.34
Y9999  	加權指數     	200601	 6532.18
Y9999  	加權指數     	200602	 6561.63
Y9999  	加權指數     	200603	 6613.97
Y9999  	加權指數     	200604	 7171.77
Y9999  	加權指數     	200605	 6846.95
Y9999  	加權指數     	200606	 6704.41
Y9999  	加權指數     	200607	 6454.58
Y9999  	加權指數     	200608	 6611.77
Y9999  	加權指數     	200609	 6883.05
Y9999  	加權指數     	200610	 7021.32
Y9999  	加權指數     	200611	 7567.72
Y9999  	加權指數     	200612	 7823.72
Y9999  	加權指數     	200701	 7699.64
Y9999  	加權指數     	200702	 7901.96
Y9999  	加權指數     	200703	 7884.41
Y9999  	加權指數     	200704	 7875.42
Y9999  	加權指數     	200705	 8144.95
Y9999  	加權指數     	200706	 8883.21
Y9999  	加權指數     	200707	 9287.25
Y9999  	加權指數     	200708	 8982.16
Y9999  	加權指數     	200709	 9476.52
Y9999  	加權指數     	200710	 9711.37
Y9999  	加權指數     	200711	 8586.40
Y9999  	加權指數     	200712	 8506.28
Y9999  	加權指數     	200801	 7521.13
Y9999  	加權指數     	200802	 8412.76
Y9999  	加權指數     	200803	 8572.59
Y9999  	加權指數     	200804	 8919.92
Y9999  	加權指數     	200805	 8619.08
Y9999  	加權指數     	200806	 7523.54
Y9999  	加權指數     	200807	 7024.06
Y9999  	加權指數     	200808	 7046.11
Y9999  	加權指數     	200809	 5719.28
Y9999  	加權指數     	200810	 4870.66
Y9999  	加權指數     	200811	 4460.49
Y9999  	加權指數     	200812	 4591.22
Y9999  	加權指數     	200901	 4247.97
Y9999  	加權指數     	200902	 4557.15
Y9999  	加權指數     	200903	 5210.84
Y9999  	加權指數     	200904	 5992.57
Y9999  	加權指數     	200905	 6890.44
Y9999  	加權指數     	200906	 6432.16
Y9999  	加權指數     	200907	 7077.71
Y9999  	加權指數     	200908	 6825.95
Y9999  	加權指數     	200909	 7509.17
Y9999  	加權指數     	200910	 7340.08
Y9999  	加權指數     	200911	 7582.21
Y9999  	加權指數     	200912	 8188.11
Y9999  	加權指數     	201001	 7640.44
Y9999  	加權指數     	201002	 7436.10
Y9999  	加權指數     	201003	 7920.06
Y9999  	加權指數     	201004	 8004.25
Y9999  	加權指數     	201005	 7373.98
Y9999  	加權指數     	201006	 7329.37
Y9999  	加權指數     	201007	 7760.63
Y9999  	加權指數     	201008	 7616.28
Y9999  	加權指數     	201009	 8237.78
Y9999  	加權指數     	201010	 8287.09
Y9999  	加權指數     	201011	 8372.48
Y9999  	加權指數     	201012	 8972.50
Y9999  	加權指數     	201101	 9145.35
Y9999  	加權指數     	201102	 8599.65
Y9999  	加權指數     	201103	 8683.30
Y9999  	加權指數     	201104	 9007.87
Y9999  	加權指數     	201105	 8988.84
Y9999  	加權指數     	201106	 8652.59
Y9999  	加權指數     	201107	 8644.18
Y9999  	加權指數     	201108	 7741.36
Y9999  	加權指數     	201109	 7225.38
Y9999  	加權指數     	201110	 7587.69
Y9999  	加權指數     	201111	 6904.12
Y9999  	加權指數     	201112	 7072.08
Y9999  	加權指數     	201201	 7517.08
Y9999  	加權指數     	201202	 8121.44
Y9999  	加權指數     	201203	 7933.00
Y9999  	加權指數     	201204	 7501.72
Y9999  	加權指數     	201205	 7301.50
Y9999  	加權指數     	201206	 7296.28
Y9999  	加權指數     	201207	 7270.49
Y9999  	加權指數     	201208	 7397.06
Y9999  	加權指數     	201209	 7715.16
Y9999  	加權指數     	201210	 7166.05
Y9999  	加權指數     	201211	 7580.17
Y9999  	加權指數     	201212	 7699.50
Y9999  	加權指數     	201301	 7850.02
Y9999  	加權指數     	201302	 7897.98
Y9999  	加權指數     	201303	 7918.61
Y9999  	加權指數     	201304	 8093.66
Y9999  	加權指數     	201305	 8254.80
Y9999  	加權指數     	201306	 8062.21
Y9999  	加權指數     	201307	 8107.94
Y9999  	加權指數     	201308	 8021.89
Y9999  	加權指數     	201309	 8173.87
Y9999  	加權指數     	201310	 8450.06
Y9999  	加權指數     	201311	 8406.83
Y9999  	加權指數     	201312	 8611.51
